Positions,Position Level,Average Annual Salary
Helpdesk Technician,Level 1 - Early Career,"$53,429.00"
Network Administrator,Level 2 - Mid Career,"$83,947.00"
System Administrator,Level 2 - Mid Career,"$94,778.00"
Network Engineer,Level 3 - Late Career,"$115,389.00"
Cybersecurity Engineer,Level 3 - Late Career,"$130,064.00"
