Certifications,Difficulty Level,Exam Duration (min),Price (USD),Number of Exams,Position
CompTIA A+,Level 1 - Novice,180,548,2,Help Desk Technician
CompTIA Network+,Level 2 - Advanced Beginner,90,399,1,Network Administrator
CompTIA Linux+,Level 2 - Advanced Beginner,90,399,1,System Administrator
CompTIA Security+,Level 2 - Advanced Beginner,90,439,1,Cybersecurity Engineer
CCNA,Level 3 - Intermediate,120,300,1,Network Engineer
RHCSA,Level 3 - Intermediate,180,500,1,System Administrator
